customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Monthly,Total,Contas_Diarias,Faixa_Tempo,Ticket_Mensal_Medio,Churn_bin,Qtd_Servicos
0080-OROZO,Permanência,Feminino,0,0,0,35,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One Year,1,Electronic Check,99.25,3532.0,3.363809523809524,2-3a,100.91428571428571,0,4
0082-LDZUE,Permanência,Masculino,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-To-Month,1,Mailed Check,44.3,44.3,1.4766666666666666,0-6m,44.3,0,0
0082-OQIQY,Permanência,Masculino,0,0,0,29,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-To-Month,1,Electronic Check,94.2,2607.6,2.9972413793103447,2-3a,89.91724137931034,0,3
0083-PIVIK,Permanência,Masculino,0,0,0,64,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One Year,0,Electronic Check,81.25,5567.55,2.899765625,3+a,86.99296875,0,5
0089-IIQKO,Permanência,Feminino,0,1,1,39,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-To-Month,1,Credit Card (Automatic),99.95,3767.4,3.22,3+a,96.60000000000001,0,3
0093-EXYQL,Permanência,Feminino,1,0,0,40,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-To-Month,1,Electronic Check,91.55,3673.6,3.0613333333333332,3+a,91.84,0,2
0093-XWZFY,Evasão,Masculino,0,0,0,40,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,1,Credit Card (Automatic),104.5,4036.85,3.3640416666666666,3+a,100.92125,1,4
0094-OIFMO,Evasão,Feminino,1,0,0,11,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-To-Month,1,Electronic Check,95.0,1120.3,3.3948484848484846,6-12m,101.84545454545454,1,3
0096-BXERS,Permanência,Feminino,0,1,0,6,1,Yes,DSL,No,No,No,No,No,No,Month-To-Month,0,Electronic Check,50.35,314.55,1.7475,0-6m,52.425000000000004,0,0
0096-FCPUF,Permanência,Masculino,0,0,0,30,1,Yes,DSL,Yes,No,No,No,No,Yes,Month-To-Month,1,Mailed Check,64.5,1888.45,2.0982777777777777,2-3a,62.94833333333334,0,2
0098-BOWSO,Permanência,Masculino,0,0,0,27,1,No,No,No,No,No,No,No,No,Month-To-Month,1,Electronic Check,19.4,529.8,0.654074074074074,2-3a,19.62222222222222,0,0
0100-DUVFC,Permanência,Masculino,1,1,0,70,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One Year,1,Electronic Check,104.8,7308.95,3.480452380952381,3+a,104.41357142857143,0,4
0103-CSITQ,Permanência,Feminino,0,1,0,57,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One Year,1,Bank Transfer (Automatic),109.4,6252.7,3.656549707602339,3+a,109.69649122807017,0,5
0104-PPXDV,Permanência,Masculino,0,1,0,58,1,No,DSL,No,No,Yes,No,No,No,One Year,0,Credit Card (Automatic),50.3,2878.55,1.6543390804597702,3+a,49.630172413793105,0,1
0106-GHRQR,Permanência,Masculino,0,0,0,16,1,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-To-Month,1,Bank Transfer (Automatic),71.4,1212.1,2.525208333333333,1-2a,75.75625,0,3
0106-UGRDO,Permanência,Feminino,0,1,0,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,1,Electronic Check,116.0,8182.85,3.953067632850242,3+a,118.59202898550726,0,6
0107-WESLM,Evasão,Masculino,0,0,0,1,1,No,No,No,No,No,No,No,No,Month-To-Month,1,Electronic Check,19.85,19.85,0.6616666666666667,0-6m,19.85,1,0
0107-YHINA,Evasão,Masculino,0,0,1,1,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-To-Month,1,Electronic Check,99.75,99.75,3.325,0-6m,99.75,1,3
0111-KLBQG,Permanência,Masculino,1,1,1,32,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-To-Month,1,Mailed Check,93.95,2861.45,2.980677083333333,2-3a,89.4203125,0,3
0112-QAWRZ,Permanência,Masculino,0,1,1,16,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-To-Month,1,Bank Transfer (Automatic),90.8,1442.2,3.0045833333333336,1-2a,90.1375,0,2
0112-QWPNC,Evasão,Masculino,0,1,0,49,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One Year,0,Electronic Check,84.35,4059.35,2.7614625850340135,3+a,82.84387755102041,1,5
0114-IGABW,Permanência,Feminino,0,1,0,71,0,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,0,Bank Transfer (Automatic),58.25,4145.9,1.946431924882629,3+a,58.39295774647887,0,5
0114-PEGZZ,Permanência,Feminino,0,0,0,33,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,0,Electronic Check,107.55,3645.5,3.6823232323232324,2-3a,110.46969696969697,0,4
0114-RSRRW,Permanência,Feminino,0,1,0,10,1,No,No,No,No,No,No,No,No,Month-To-Month,1,Bank Transfer (Automatic),19.95,187.75,0.6258333333333334,6-12m,18.775,0,0
0115-TFERT,Evasão,Masculino,0,1,0,21,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-To-Month,1,Electronic Check,111.2,2317.1,3.677936507936508,1-2a,110.33809523809524,1,5
0117-LFRMW,Evasão,Masculino,0,1,1,37,0,No,DSL,Yes,Yes,Yes,No,No,No,Month-To-Month,0,Bank Transfer (Automatic),40.2,1448.8,1.3052252252252252,3+a,39.15675675675676,1,3
0118-JPNOY,Permanência,Feminino,1,0,0,26,1,No,Fiber optic,Yes,No,No,No,Yes,No,Month-To-Month,1,Credit Card (Automatic),85.8,2193.65,2.812371794871795,2-3a,84.37115384615385,0,2
0121-SNYRK,Permanência,Masculino,0,0,0,50,0,No,DSL,Yes,No,No,Yes,No,No,One Year,1,Mailed Check,35.4,1748.9,1.1659333333333335,3+a,34.978,0,2
0122-OAHPZ,Evasão,Feminino,0,0,0,7,1,Yes,Fiber optic,No,No,No,No,No,No,Month-To-Month,1,Electronic Check,73.85,511.25,2.4345238095238093,6-12m,73.03571428571429,1,0
0123-CRBRT,Permanência,Feminino,0,1,1,61,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,0,Mailed Check,88.1,5526.75,3.0200819672131147,3+a,90.60245901639344,0,6
0125-LZQXK,Evasão,Masculino,0,0,0,15,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-To-Month,1,Electronic Check,101.35,1553.95,3.453222222222222,1-2a,103.59666666666666,1,4
0128-MKWSG,Permanência,Feminino,0,0,1,26,0,No,DSL,Yes,No,No,Yes,No,Yes,Month-To-Month,0,Mailed Check,45.8,1147.0,1.4705128205128206,2-3a,44.11538461538461,0,3
0129-KPTWJ,Permanência,Masculino,0,1,0,72,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-To-Month,1,Electronic Check,94.65,6747.35,3.1237731481481483,3+a,93.71319444444445,0,3
0129-QMPDR,Permanência,Masculino,0,1,1,44,1,No,No,No,No,No,No,No,No,One Year,1,Bank Transfer (Automatic),20.5,865.05,0.655340909090909,3+a,19.660227272727273,0,0
0130-SXOUN,Permanência,Masculino,0,0,0,66,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-To-Month,0,Credit Card (Automatic),89.4,5976.9,3.0186363636363636,3+a,90.5590909090909,0,2
0133-BMFZO,Evasão,Feminino,0,0,0,2,1,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-To-Month,1,Electronic Check,86.25,181.65,3.0275000000000003,0-6m,90.825,1,3
0134-XWXCE,Permanência,Feminino,1,0,0,44,1,No,DSL,No,No,Yes,Yes,Yes,Yes,One Year,0,Bank Transfer (Automatic),74.85,3268.05,2.475795454545455,3+a,74.27386363636364,0,4
0135-NMXAP,Evasão,Feminino,0,0,0,12,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-To-Month,1,Bank Transfer (Automatic),89.75,1052.4,2.923333333333334,6-12m,87.7,1,2
0136-IFMYD,Permanência,Masculino,1,1,0,69,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,1,Electronic Check,109.95,7634.25,3.6880434782608695,3+a,110.6413043478261,0,5
0137-OCGAB,Evasão,Feminino,0,0,0,1,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-To-Month,1,Mailed Check,80.2,80.2,2.6733333333333333,0-6m,80.2,1,1
0137-UDEUO,Evasão,Feminino,0,0,0,3,1,No,No,No,No,No,No,No,No,Month-To-Month,0,Mailed Check,19.85,63.75,0.7083333333333334,0-6m,21.25,1,0
0139-IVFJG,Permanência,Feminino,0,1,0,2,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-To-Month,0,Electronic Check,90.35,190.5,3.175,0-6m,95.25,0,3
0141-YEAYS,Permanência,Feminino,1,0,0,27,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-To-Month,1,Bank Transfer (Automatic),86.45,2401.05,2.9642592592592596,2-3a,88.92777777777779,0,2
0142-GVYSN,Permanência,Masculino,0,0,0,26,1,No,No,No,No,No,No,No,No,Month-To-Month,1,Electronic Check,20.3,511.25,0.655448717948718,2-3a,19.66346153846154,0,0
0147-ESWWR,Permanência,Feminino,1,1,0,39,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-To-Month,1,Electronic Check,101.25,3949.15,3.3753418803418804,3+a,101.26025641025642,0,3
0148-DCDOS,Evasão,Masculino,0,0,0,25,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-To-Month,1,Bank Transfer (Automatic),94.7,2362.1,3.1494666666666666,2-3a,94.484,1,2
0151-ONTOV,Evasão,Feminino,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-To-Month,0,Mailed Check,70.9,70.9,2.3633333333333337,0-6m,70.9,1,0
0156-FVPTA,Evasão,Masculino,0,1,0,22,1,No,DSL,Yes,No,No,Yes,No,No,Month-To-Month,1,Electronic Check,54.2,1152.7,1.7465151515151516,1-2a,52.39545454545455,1,2
0164-APGRB,Permanência,Feminino,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,1,Electronic Check,114.9,8496.7,3.9336574074074075,3+a,118.00972222222224,0,6
0164-XAIRP,Permanência,Feminino,0,0,0,24,1,No,No,No,No,No,No,No,No,Two Year,1,Bank Transfer (Automatic),19.55,470.2,0.6530555555555555,1-2a,19.591666666666665,0,0
0168-XZKBB,Permanência,Feminino,0,1,0,19,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-To-Month,1,Electronic Check,86.85,1564.4,2.744561403508772,1-2a,82.33684210526316,0,1
0174-QRVVY,Permanência,Masculino,0,1,1,71,1,Yes,No,No,No,No,No,No,No,Two Year,0,Credit Card (Automatic),25.35,1847.55,0.8673943661971831,3+a,26.021830985915493,0,0
0177-PXBAT,Permanência,Masculino,1,1,0,33,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-To-Month,1,Bank Transfer (Automatic),109.9,3694.7,3.732020202020202,2-3a,111.96060606060605,0,5
0178-CIIKR,Permanência,Feminino,0,0,0,3,1,No,No,No,No,No,No,No,No,Month-To-Month,0,Mailed Check,19.95,58.0,0.6444444444444445,0-6m,19.333333333333332,0,0
0178-SZBHO,Permanência,Masculino,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-To-Month,0,Electronic Check,87.2,4017.45,2.849255319148936,3+a,85.47765957446808,0,2
0181-RITDD,Permanência,Masculino,0,1,1,62,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,0,Mailed Check,108.15,6825.65,3.6697043010752686,3+a,110.09112903225805,0,6
0186-CAERR,Permanência,Masculino,0,0,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,1,Bank Transfer (Automatic),116.3,8309.55,3.901197183098591,3+a,117.03591549295774,0,6
0187-QSXOE,Permanência,Masculino,1,1,0,7,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-To-Month,1,Electronic Check,89.0,605.45,2.883095238095238,6-12m,86.49285714285715,0,2
0187-WZNAB,Permanência,Feminino,0,1,1,27,1,No,Fiber optic,Yes,No,No,No,No,No,Month-To-Month,0,Mailed Check,74.4,1972.35,2.435,2-3a,73.05,0,1
0188-GWFLE,Permanência,Masculino,0,0,0,2,1,No,No,No,No,No,No,No,No,Month-To-Month,0,Mailed Check,20.05,33.7,0.5616666666666668,0-6m,16.85,0,0
0191-EQUUH,Permanência,Feminino,0,0,1,25,0,No,DSL,Yes,No,No,Yes,No,No,Two Year,0,Bank Transfer (Automatic),35.05,844.45,1.1259333333333335,2-3a,33.778,0,2
0191-ZHSKZ,Permanência,Masculino,1,0,0,30,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-To-Month,1,Electronic Check,74.75,2111.3,2.345888888888889,2-3a,70.37666666666668,0,4
0193-ESZXP,Evasão,Feminino,1,1,0,58,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One Year,1,Credit Card (Automatic),105.5,6205.5,3.5663793103448276,3+a,106.99137931034483,1,5
0195-IESCP,Evasão,Masculino,0,1,0,10,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-To-Month,1,Electronic Check,85.25,855.3,2.851,6-12m,85.53,1,1
0196-JTUQI,Permanência,Feminino,0,0,0,9,1,Yes,Fiber optic,No,No,No,No,No,No,Month-To-Month,1,Credit Card (Automatic),75.2,633.85,2.347592592592593,6-12m,70.42777777777778,0,0
0196-VULGZ,Evasão,Feminino,1,1,0,6,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-To-Month,1,Electronic Check,84.35,474.9,2.638333333333333,0-6m,79.14999999999999,1,1
0197-PNKNK,Permanência,Feminino,0,1,1,69,1,Yes,Fiber optic,Yes,No,Yes,No,No,No,One Year,0,Bank Transfer (Automatic),84.45,5848.6,2.825410628019324,3+a,84.76231884057971,0,2
0201-MIBOL,Permanência,Feminino,1,0,0,66,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two Year,1,Bank Transfer (Automatic),102.4,6471.85,3.2686111111111114,3+a,98.05833333333334,0,3
0201-OAMXR,Evasão,Feminino,0,0,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,0,Credit Card (Automatic),115.55,8127.6,3.8702857142857146,3+a,116.10857142857144,1,6
0203-HHYIJ,Evasão,Masculino,0,0,0,25,1,Yes,No,No,No,No,No,No,No,One Year,0,Bank Transfer (Automatic),25.3,676.35,0.9018,2-3a,27.054000000000002,1,0
0206-OYVOC,Permanência,Feminino,0,1,1,46,1,No,No,No,No,No,No,No,No,Two Year,1,Mailed Check,19.25,864.2,0.626231884057971,3+a,18.786956521739132,0,0
0206-TBWLC,Permanência,Feminino,0,1,0,54,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,1,Mailed Check,114.65,6049.5,3.734259259259259,3+a,112.02777777777777,0,6
0207-MDKNV,Evasão,Feminino,0,0,0,15,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-To-Month,0,Electronic Check,105.1,1582.75,3.5172222222222222,1-2a,105.51666666666667,1,5
0208-BPQEJ,Permanência,Feminino,0,1,1,12,1,No,No,No,No,No,No,No,No,Month-To-Month,0,Bank Transfer (Automatic),19.4,198.1,0.5502777777777778,6-12m,16.508333333333333,0,0
0212-ISBBF,Permanência,Feminino,0,0,0,22,0,No,DSL,No,Yes,No,No,Yes,Yes,Month-To-Month,1,Electronic Check,50.35,1098.85,1.6649242424242423,1-2a,49.94772727272727,0,3
0214-JHPFW,Permanência,Feminino,0,1,0,70,0,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,0,Bank Transfer (Automatic),57.8,4039.3,1.9234761904761906,3+a,57.70428571428572,0,5
0215-BQKGS,Permanência,Masculino,0,0,0,30,1,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-To-Month,1,Credit Card (Automatic),84.3,2438.6,2.7095555555555553,2-3a,81.28666666666666,0,3
0218-QNVAS,Permanência,Masculino,0,1,1,71,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One Year,0,Bank Transfer (Automatic),100.55,7113.75,3.339788732394366,3+a,100.19366197183099,0,3
0219-QAERP,Permanência,Masculino,0,1,0,30,1,No,No,No,No,No,No,No,No,One Year,0,Credit Card (Automatic),19.8,576.65,0.6407222222222222,2-3a,19.221666666666668,0,0
0219-YTZUE,Evasão,Masculino,0,1,1,4,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-To-Month,1,Bank Transfer (Automatic),84.8,371.9,3.0991666666666666,0-6m,92.975,1,2
0220-EBGCE,Evasão,Masculino,0,0,0,2,1,No,Fiber optic,No,No,Yes,No,No,Yes,Month-To-Month,1,Electronic Check,85.85,167.3,2.7883333333333336,0-6m,83.65,1,2
0221-NAUXK,Permanência,Masculino,0,0,1,10,1,No,No,No,No,No,No,No,No,One Year,1,Bank Transfer (Automatic),19.95,219.5,0.7316666666666667,6-12m,21.95,0,0
0221-WMXNQ,Permanência,Masculino,1,0,0,4,1,No,Fiber optic,Yes,No,No,No,No,No,Month-To-Month,0,Electronic Check,75.35,273.4,2.2783333333333333,0-6m,68.35,0,1
0222-CNVPT,Permanência,Masculino,1,0,0,52,0,No,DSL,Yes,No,No,No,Yes,Yes,Month-To-Month,1,Credit Card (Automatic),48.8,2555.05,1.6378525641025643,3+a,49.135576923076925,0,3
